count_X36,count_X27,count_X30,count_X41,mean_X36,mean_X27,mean_X30,mean_X41,std_X36,std_X27,std_X30,std_X41,min_X36,min_X27,min_X30,min_X41,25%_X36,25%_X27,25%_X30,25%_X41,50%_X36,50%_X27,50%_X30,50%_X41,75%_X36,75%_X27,75%_X30,75%_X41,max_X36,max_X27,max_X30,max_X41
25.0,25.0,25.0,25.0,0.0104,8.516000000000002,3.648,0.1072,0.010198039027185569,3.416343074107166,1.2237646832622684,0.071386273190299,0.0,5.3,2.4,0.04,0.0,5.3,2.4,0.04,0.02,5.3,4.8,0.04,0.02,12.0,4.8,0.18,0.02,12.0,4.8,0.18
25.0,25.0,25.0,25.0,0.02,10.48,2.628,0.12279999999999999,0.0,0.5099019513592784,0.5608921464952064,0.05608921464952063,0.02,10.0,2.1,0.07,0.02,10.0,2.1,0.07,0.02,10.0,2.1,0.07,0.02,11.0,3.2,0.18,0.02,11.0,3.2,0.18
25.0,25.0,25.0,25.0,0.0052,8.872,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
1.0,1.0,1.0,1.0,0.01,12.0,3.4,0.06,,,,,0.01,12.0,3.4,0.06,0.01,12.0,3.4,0.06,0.01,12.0,3.4,0.06,0.01,12.0,3.4,0.06,0.01,12.0,3.4,0.06
25.0,25.0,25.0,25.0,0.0,3.9960000000000004,1.5232,0.05000000000000001,0.0,0.10198039027185557,0.7189617514165827,7.081978934950617e-18,0.0,3.9,0.79,0.05,0.0,3.9,0.79,0.05,0.0,3.9,2.2,0.05,0.0,4.1,2.2,0.05,0.0,4.1,2.2,0.05
25.0,25.0,25.0,25.0,0.0304,8.764,2.3160000000000003,0.1176,0.010198039027185569,2.192578390844897,0.8668333173107735,0.06118823416311341,0.02,6.7,1.5,0.06,0.02,6.7,1.5,0.06,0.04,6.7,1.5,0.06,0.04,11.0,3.2,0.18,0.04,11.0,3.2,0.18
25.0,25.0,25.0,25.0,0.014800000000000002,9.492,2.26,0.029200000000000004,0.005099019513592785,1.4787156589419077,0.2549509756796392,0.020396078054371138,0.01,8.1,2.0,0.01,0.01,8.1,2.0,0.01,0.01,8.1,2.5,0.01,0.02,11.0,2.5,0.05,0.02,11.0,2.5,0.05
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0304,8.764,2.3160000000000003,0.1176,0.010198039027185569,2.192578390844897,0.8668333173107734,0.06118823416311341,0.02,6.7,1.5,0.06,0.02,6.7,1.5,0.06,0.04,6.7,1.5,0.06,0.04,11.0,3.2,0.18,0.04,11.0,3.2,0.18
25.0,25.0,25.0,25.0,0.026000000000000006,8.208,3.1351999999999998,0.34120000000000006,0.025495097567963927,4.0282254157383,2.299657800630346,0.28554509276119594,0.0,4.1,0.79,0.05,0.0,4.1,0.79,0.05,0.05,12.0,5.3,0.61,0.05,12.0,5.3,0.61,0.05,12.0,5.3,0.61
17.0,17.0,17.0,17.0,0.01,4.3,0.93,0.17,0.0,0.0,0.0,0.0,0.01,4.3,0.93,0.17,0.01,4.3,0.93,0.17,0.01,4.3,0.93,0.17,0.01,4.3,0.93,0.17,0.01,4.3,0.93,0.17
6.0,6.0,6.0,6.0,0.0,6.866666666666667,0.6000000000000001,0.17333333333333334,0.0,1.2909944487358056,0.12393546707863737,0.09811557810392123,0.0,5.2,0.44,0.11,0.0,5.825,0.5,0.11,0.0,7.7,0.68,0.11,0.0,7.7,0.68,0.2525,0.0,7.7,0.68,0.3
19.0,19.0,19.0,19.0,0.0,7.699999999999999,0.84,0.07000000000000002,0.0,9.125165812557182e-16,0.0,1.4258071582120596e-17,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07
13.0,13.0,13.0,13.0,0.005384615384615385,8.861538461538462,0.7953846153846154,0.24615384615384617,0.005188745216627708,3.5283467473068417,0.3424571842974288,0.051887452166277076,0.0,5.2,0.44,0.2,0.0,5.2,0.44,0.2,0.01,12.0,1.1,0.2,0.01,12.0,1.1,0.3,0.01,12.0,1.1,0.3
9.0,9.0,9.0,9.0,0.0,6.177777777777778,0.5466666666666666,0.21555555555555558,0.0,1.159501808728406,0.1264911064067352,0.10013879257199867,0.0,5.2,0.44,0.11,0.0,5.2,0.44,0.11,0.0,5.2,0.44,0.3,0.0,7.4,0.68,0.3,0.0,7.4,0.68,0.3
3.0,3.0,3.0,3.0,0.0,7.7,0.68,0.11,0.0,0.0,0.0,0.0,0.0,7.7,0.68,0.11,0.0,7.7,0.68,0.11,0.0,7.7,0.68,0.11,0.0,7.7,0.68,0.11,0.0,7.7,0.68,0.11
18.0,18.0,18.0,18.0,0.0,7.699999999999999,0.84,0.07,0.0,9.139280539960854e-16,0.0,0.0,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07
16.0,16.0,16.0,16.0,0.01,5.875,0.48375,0.07250000000000001,0.0,0.2999999999999998,0.045000000000000005,0.010000000000000002,0.01,5.5,0.45,0.06,0.01,5.5,0.45,0.06,0.01,6.1,0.45,0.08,0.01,6.1,0.54,0.08,0.01,6.1,0.54,0.08
41.0,41.0,41.0,41.0,0.011707317073170733,5.060975609756097,0.5229268292682926,0.06560975609756098,0.01948107274053334,0.7605517894201841,0.14815943949743843,0.03209741270630741,0.0,3.8,0.34,0.05,0.0,5.1,0.34,0.05,0.0,5.1,0.64,0.05,0.01,5.1,0.64,0.05,0.05,6.2,0.64,0.13
18.0,18.0,18.0,18.0,0.0,7.699999999999999,0.84,0.07,0.0,9.139280539960854e-16,0.0,0.0,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07,0.0,7.7,0.84,0.07
17.0,17.0,17.0,17.0,0.01,5.7823529411764705,0.49764705882352944,0.06941176470588237,0.0,0.3086974532565157,0.046304617988477396,0.010289915108550532,0.01,5.5,0.45,0.06,0.01,5.5,0.45,0.06,0.01,5.5,0.54,0.06,0.01,6.1,0.54,0.08,0.01,6.1,0.54,0.08
20.0,20.0,20.0,20.0,0.010000000000000002,5.859999999999999,0.48599999999999993,0.07200000000000002,1.7797887332061147e-18,0.30157481397002056,0.04523622209550312,0.010052493799000695,0.01,5.5,0.45,0.06,0.01,5.5,0.45,0.06,0.01,6.1,0.45,0.08,0.01,6.1,0.54,0.08,0.01,6.1,0.54,0.08
13.0,13.0,13.0,13.0,0.009999999999999998,5.730769230769231,0.5053846153846154,0.0676923076923077,1.805557439208312e-18,0.3038218101250998,0.04557327151876501,0.01012739367083667,0.01,5.5,0.45,0.06,0.01,5.5,0.45,0.06,0.01,5.5,0.54,0.06,0.01,6.1,0.54,0.08,0.01,6.1,0.54,0.08
20.0,20.0,20.0,20.0,0.010000000000000002,5.859999999999999,0.48599999999999993,0.07200000000000002,1.7797887332061147e-18,0.3015748139700206,0.04523622209550312,0.010052493799000695,0.01,5.5,0.45,0.06,0.01,5.5,0.45,0.06,0.01,6.1,0.45,0.08,0.01,6.1,0.54,0.08,0.01,6.1,0.54,0.08
16.0,16.0,16.0,16.0,0.015625,6.26875,0.985625,0.06,0.0051234753829797995,0.15370426148939434,0.2510502937660101,0.0,0.01,6.1,0.71,0.06,0.01,6.1,0.71,0.06,0.02,6.4,1.2,0.06,0.02,6.4,1.2,0.06,0.02,6.4,1.2,0.06
25.0,25.0,25.0,25.0,0.01,6.099999999999999,0.71,0.06,0.0,9.06493303673679e-16,0.0,0.0,0.01,6.1,0.71,0.06,0.01,6.1,0.71,0.06,0.01,6.1,0.71,0.06,0.01,6.1,0.71,0.06,0.01,6.1,0.71,0.06
18.0,18.0,18.0,18.0,0.010000000000000002,4.722222222222222,1.0166666666666666,0.08666666666666667,1.7850157304611042e-18,1.5850609769512323,0.35280389486979036,0.030678599553894816,0.01,3.0,0.71,0.06,0.01,3.0,0.71,0.06,0.01,6.1,0.71,0.06,0.01,6.1,1.4,0.12,0.01,6.1,1.4,0.12
